Exp_Username,Exp_Date,Exp_Response*Response,Exp_Response*Accuracy,Exp_Response*trial_RT,Exp_Response*Object,Exp_Response*DMT_Trial,Exp_Response*Type,Exp_Response*Room,Exp_Response*Reward
1160,2025-10-30,0,-1,2242.766374999974,../run_exp/static/images/probes/probes-151.png,0,0,driftwood_beach,0
1160,2025-10-30,0,-1,73.4459583336502,../run_exp/static/images/probes/probes-10.png,1,0,driftwood_beach,1
1160,2025-10-30,0,-1,914.3416249999063,../run_exp/static/images/probes/probes-24.png,2,0,driftwood_beach,0
1160,2025-10-30,1,-1,1066.1045833335265,../run_exp/static/images/probes/probes-49.png,3,0,driftwood_beach,0
1160,2025-10-30,2,-1,1413.9102500002991,../run_exp/static/images/probes/probes-127.png,4,0,driftwood_beach,1
1160,2025-10-30,2,-1,1080.4904999999962,../run_exp/static/images/probes/probes-01.png,5,0,driftwood_beach,0
1160,2025-10-30,2,-1,949.450208333019,../run_exp/static/images/probes/probes-69.png,6,0,driftwood_beach,1
1160,2025-10-30,2,-1,1259.4162499999584,../run_exp/static/images/probes/probes-95.png,7,0,driftwood_beach,1
1160,2025-10-30,0,-1,1855.0987499997973,../run_exp/static/images/probes/probes-22.png,8,0,driftwood_beach,1
1160,2025-10-30,2,-1,1435.570958333301,../run_exp/static/images/probes/probes-71.png,9,0,driftwood_beach,1
1160,2025-10-30,2,-1,1736.1538333334465,../run_exp/static/images/probes/probes-133.png,10,0,driftwood_beach,0
1160,2025-10-30,0,-1,1731.583750000027,../run_exp/static/images/probes/probes-180.png,11,0,driftwood_beach,0
1160,2025-10-30,1,-1,958.9157500004148,../run_exp/static/images/probes/probes-59.png,12,0,driftwood_beach,0
1160,2025-10-30,2,-1,1292.8080833335116,../run_exp/static/images/probes/probes-12.png,13,0,driftwood_beach,0
1160,2025-10-30,0,-1,1169.4453333334422,../run_exp/static/images/probes/probes-70.png,14,0,driftwood_beach,0
1160,2025-10-30,1,-1,1304.0062083337034,../run_exp/static/images/probes/probes-152.png,15,0,driftwood_beach,1
1160,2025-10-30,1,-1,947.5128750000295,../run_exp/static/images/probes/probes-167.png,16,0,driftwood_beach,0
1160,2025-10-30,0,-1,1380.5890416665534,../run_exp/static/images/probes/probes-55.png,17,0,driftwood_beach,0
1160,2025-10-30,2,-1,637.0679166670925,../run_exp/static/images/probes/probes-119.png,18,0,driftwood_beach,0
1160,2025-10-30,1,-1,1262.1482916670175,../run_exp/static/images/probes/probes-62.png,19,0,driftwood_beach,0
1160,2025-10-30,0,-1,1237.8639166668108,../run_exp/static/images/probes/probes-31.png,20,0,driftwood_beach,0
1160,2025-10-30,2,-1,905.8615833332624,../run_exp/static/images/probes/probes-33.png,21,0,driftwood_beach,0
1160,2025-10-30,-1,-1,3000,../run_exp/static/images/probes/probes-47.png,22,0,driftwood_beach,0
1160,2025-10-30,1,-1,586.4832083334477,../run_exp/static/images/probes/probes-21.png,23,0,driftwood_beach,1
1160,2025-10-30,2,-1,1004.6346250001079,../run_exp/static/images/probes/probes-85.png,24,0,driftwood_beach,0
1160,2025-10-30,1,-1,1366.9822916667727,../run_exp/static/images/probes/probes-04.png,25,0,driftwood_beach,1
1160,2025-10-30,0,-1,794.6487916665319,../run_exp/static/images/probes/probes-41.png,26,0,driftwood_beach,1
1160,2025-10-30,1,-1,1037.922458333469,../run_exp/static/images/probes/probes-175.png,27,0,driftwood_beach,1
1160,2025-10-30,1,-1,894.3413750002946,../run_exp/static/images/probes/probes-18.png,28,0,driftwood_beach,0
1160,2025-10-30,2,-1,800.7826666666915,../run_exp/static/images/probes/probes-107.png,29,0,driftwood_beach,0
1160,2025-10-30,0,-1,2214.8387500001263,../run_exp/static/images/probes/probes-115.png,30,0,sunleaf_forest,1
1160,2025-10-30,0,-1,707.3057500001596,../run_exp/static/images/probes/probes-40.png,31,0,sunleaf_forest,0
1160,2025-10-30,1,-1,736.9672916670424,../run_exp/static/images/probes/probes-125.png,32,0,sunleaf_forest,0
1160,2025-10-30,1,-1,106.39374999982465,../run_exp/static/images/probes/probes-36.png,33,0,sunleaf_forest,1
1160,2025-10-30,2,-1,627.59241666663,../run_exp/static/images/probes/probes-124.png,34,0,sunleaf_forest,0
1160,2025-10-30,0,-1,579.6735000003537,../run_exp/static/images/probes/probes-90.png,35,0,sunleaf_forest,1
1160,2025-10-30,0,-1,777.7576666667301,../run_exp/static/images/probes/probes-37.png,36,0,sunleaf_forest,1
1160,2025-10-30,0,-1,525.8825833334413,../run_exp/static/images/probes/probes-81.png,37,0,sunleaf_forest,0
1160,2025-10-30,2,-1,581.2443750000966,../run_exp/static/images/probes/probes-80.png,38,0,sunleaf_forest,1
1160,2025-10-30,1,-1,1398.8556666663499,../run_exp/static/images/probes/probes-145.png,39,0,sunleaf_forest,0
1160,2025-10-30,2,-1,571.9202083337223,../run_exp/static/images/probes/probes-144.png,40,0,sunleaf_forest,0
1160,2025-10-30,0,-1,691.155125000023,../run_exp/static/images/probes/probes-09.png,41,0,sunleaf_forest,0
1160,2025-10-30,0,-1,549.0383333335558,../run_exp/static/images/probes/probes-109.png,42,0,sunleaf_forest,1
1160,2025-10-30,1,-1,626.8981250000252,../run_exp/static/images/probes/probes-66.png,43,0,sunleaf_forest,0
