Exp_Username,Exp_Date,Exp_Response*Response,Exp_Response*Accuracy,Exp_Response*trial_RT,Exp_Response*Object,Exp_Response*DMT_Trial,Exp_Response*Type,Exp_Response*Room,Exp_Response*Reward
7778,10/21/25,1,-1,648.2680421,<NA>,0,0,room 7,0
7778,10/21/25,0,-1,336.7512496,<NA>,1,0,room 7,0
7778,10/21/25,2,-1,293.696458,<NA>,2,0,room 7,1
7778,10/21/25,1,-1,337.4244999,<NA>,3,0,room 7,0
7778,10/21/25,0,-1,342.8152916,<NA>,4,0,room 7,0
7778,10/21/25,0,-1,223.2245421,<NA>,5,0,room 7,1
7778,10/21/25,1,-1,258.0748335,<NA>,6,0,room 7,0
7778,10/21/25,2,-1,446.680875,<NA>,7,0,room 7,0
7778,10/21/25,2,-1,92.42233308,<NA>,8,0,room 7,0
7778,10/21/25,1,-1,360.2065416,<NA>,9,0,room 7,1
7778,10/21/25,2,-1,357.3158332,<NA>,10,0,room 7,0
7778,10/21/25,5,1,1165.830667,../run_exp/static/images/probes/probes-118.png,11,1,4,-1
7778,10/21/25,2,-1,368.358375,<NA>,12,0,room 7,0
7778,10/21/25,1,-1,277.2827088,<NA>,13,0,room 7,0
7778,10/21/25,1,-1,343.4776664,<NA>,14,0,room 7,0
7778,10/21/25,1,-1,438.7898338,<NA>,15,0,room 7,0
7778,10/21/25,1,-1,543.3213748,<NA>,16,0,room 7,0
7778,10/21/25,6,1,561.0702084,../run_exp/static/images/probes/probes-45.png,17,1,3,-1
7778,10/21/25,1,-1,592.0437085,<NA>,18,0,room 7,0
7778,10/21/25,6,1,525.46325,../run_exp/static/images/probes/probes-139.png,19,1,6,-1
